District,Age group,Male,Female,Total
Abim,0--9,19524,19294,38818
Abim,10--19,14903,15329,30232
Abim,20--39,11827,14284,26111
Abim,40--59,4564,4665,9229
Abim,60+,1638,1938,3576
Adjumani,0--9,43475,39745,83220
Adjumani,10--19,30569,29623,60192
Adjumani,20--39,22981,31508,54489
Adjumani,40--59,8675,11620,20295
Adjumani,60+,2598,4457,7055
Agago,0--9,43898,41293,85191
Agago,10--19,30179,29374,59553
Agago,20--39,22781,28649,51430
Agago,40--59,9915,12361,22276
Agago,60+,3722,5620,9342
Alebtong,0--9,40267,38139,78406
Alebtong,10--19,31444,31237,62681
Alebtong,20--39,23779,28679,52458
Alebtong,40--59,10805,12374,23179
Alebtong,60+,4694,6123,10817
Amolatar,0--9,25784,24326,50110
Amolatar,10--19,19690,19758,39448
Amolatar,20--39,17319,19201,36520
Amolatar,40--59,7444,7776,15220
Amolatar,60+,2777,3091,5868
Amudat,0--9,19937,19882,39819
Amudat,10--19,15719,13586,29305
Amudat,20--39,12074,13103,25177
Amudat,40--59,4547,3636,8183
Amudat,60+,1969,1316,3285
Amuru,0--9,35194,33161,68355
Amuru,10--19,25357,24559,49916
Amuru,20--39,20129,24271,44400
Amuru,40--59,7935,9467,17402
Amuru,60+,2669,3954,6623
Apac,0--9,62423,60181,122604
Apac,10--19,50879,50831,101710
Apac,20--39,43310,48700,92010
Apac,40--59,16626,17819,34445
Apac,60+,7757,10100,17857
Arua,0--9,133794,126061,259855
Arua,10--19,101239,105488,206727
Arua,20--39,89853,112609,202462
Arua,40--59,36932,45595,82527
Arua,60+,12937,17569,30506
Dokolo,0--9,31585,30018,61603
Dokolo,10--19,26055,25998,52053
Dokolo,20--39,19483,23220,42703
Dokolo,40--59,8773,9738,18511
Dokolo,60+,3580,4643,8223
Gulu,0--9,71748,67332,139080
Gulu,10--19,58593,59509,118102
Gulu,20--39,56534,63400,119934
Gulu,40--59,19746,22703,42449
Gulu,60+,6787,9993,16780
Kaabong,0--9,28153,29156,57309
Kaabong,10--19,20904,22371,43275
Kaabong,20--39,20036,25067,45103
Kaabong,40--59,7242,8915,16157
Kaabong,60+,2872,3163,6035
Kitgum,0--9,36324,34060,70384
Kitgum,10--19,26970,26779,53749
Kitgum,20--39,23085,27200,50285
Kitgum,40--59,9021,11114,20135
Kitgum,60+,3858,5637,9495
Koboko,0--9,38639,35685,74324
Koboko,10--19,27630,27003,54633
Koboko,20--39,24298,28772,53070
Koboko,40--59,8886,9484,18370
Koboko,60+,2797,3301,6098
Kole,0--9,41838,39660,81498
Kole,10--19,32868,33232,66100
Kole,20--39,26624,30268,56892
Kole,40--59,10517,11543,22060
Kole,60+,5317,7460,12777
Kotido,0--9,31465,32793,64258
Kotido,10--19,22972,23983,46955
Kotido,20--39,20972,25800,46772
Kotido,40--59,7790,9208,16998
Kotido,60+,2970,3097,6067
Lamwo,0--9,25198,23495,48693
Lamwo,10--19,17623,17027,34650
Lamwo,20--39,13788,17334,31122
Lamwo,40--59,6002,7362,13364
Lamwo,60+,2495,4047,6542
Lira,0--9,64834,62548,127382
Lira,10--19,53062,57740,110802
Lira,20--39,54118,62239,116357
Lira,40--59,17860,20058,37918
Lira,60+,6789,8795,15584
Maracha,0--9,34063,31860,65923
Maracha,10--19,24266,23811,48077
Maracha,20--39,17415,25551,42966
Maracha,40--59,8651,11909,20560
Maracha,60+,3505,5103,8608
Moyo,0--9,23516,21669,45185
Moyo,10--19,19246,18459,37705
Moyo,20--39,16515,18774,35289
Moyo,40--59,7424,8237,15661
Moyo,60+,2239,2933,5172
Nakapiripirit,0--9,27464,28098,55562
Nakapiripirit,10--19,19786,21005,40791
Nakapiripirit,20--39,17967,21100,39067
Nakapiripirit,40--59,5970,6890,12860
Nakapiripirit,60+,3391,5019,8410
Napak,0--9,26227,26290,52517
Napak,10--19,16953,17718,34671
Napak,20--39,13989,19441,33430
Napak,40--59,5052,7785,12837
Napak,60+,3297,5472,8769
Nebbi,0--9,70903,66683,137586
Nebbi,10--19,51725,52174,103899
Nebbi,20--39,41808,51862,93670
Nebbi,40--59,18558,22361,40919
Nebbi,60+,8110,12610,20720
Nwoya,0--9,24881,23441,48322
Nwoya,10--19,17385,16911,34296
Nwoya,20--39,15302,16918,32220
Nwoya,40--59,6215,7059,13274
Nwoya,60+,2186,3208,5394
Otuke,0--9,18789,17819,36608
Otuke,10--19,14031,13545,27576
Otuke,20--39,11151,13201,24352
Otuke,40--59,5094,5656,10750
Otuke,60+,2122,2846,4968
Oyam,0--9,67980,64604,132584
Oyam,10--19,51636,52524,104160
Oyam,20--39,42956,49933,92889
Oyam,40--59,17268,20005,37273
Oyam,60+,7281,9457,16738
Pader,0--9,32105,30220,62325
Pader,10--19,24666,23765,48431
Pader,20--39,18882,23421,42303
Pader,40--59,7975,9387,17362
Pader,60+,3007,4576,7583
Yumbe,0--9,90938,95027,185965
Yumbe,10--19,69577,75885,145462
Yumbe,20--39,44423,57606,102029
Yumbe,40--59,18176,17585,35761
Yumbe,60+,7512,8093,15605
Zombo,0--9,44816,41944,86760
Zombo,10--19,30930,30349,61279
Zombo,20--39,22948,29332,52280
Zombo,40--59,11540,13483,25023
Zombo,60+,5590,9149,14739
